ID,Lat_deg,Lon_deg,DispR_mmyr,Disp_mm,20250721,20250725,20250801,20250805,20250812,20250816,20250823,20250827,20250903,20250907,20250914,20250918,20250925,20250929,20251006
61,-6.163588,106.819878,-16.80063,-3.54424,0,-0.6275,-1.3457,-0.45223,1.95585,-0.43614,-0.80951,-0.31874,-1.90995,-1.92099,-1.95619,-2.46355,-2.79466,-2.41723,-4.13953
107,-6.163571,106.819872,-14.84777,-3.13227,0,1.46442,0.53394,2.43846,3.90071,0.90101,0.15582,1.06132,0.3001,-1.07759,-1.11746,-0.98739,-0.46184,-0.15452,-2.15162
201,-6.163566,106.819894,-16.83062,-3.55057,0,-0.50831,-1.43276,-0.37043,2.33153,-0.46711,-0.85041,-0.24104,-1.85153,-1.9502,-2.00527,-2.3134,-2.63983,-2.35121,-4.15472
222,-6.163606,106.819884,-16.17864,-3.41303,0,-0.78291,-1.45087,-0.62342,1.95994,-0.42855,-0.77329,-0.38593,-2.12963,-1.96831,-1.9188,-2.49569,-2.88814,-2.30038,-4.05014
507,-6.163545,106.819907,-18.16783,-3.83267,0,-0.63977,-1.42867,-0.40432,2.20358,-0.30118,-1.07769,-0.25682,-1.68502,-1.96774,-2.08591,-2.43085,-3.0459,-3.00851,-4.19797
542,-6.163604,106.819895,-15.84788,-3.34325,0,-0.78057,-1.55603,-0.65438,2.13054,-0.35668,-0.72888,-0.39061,-2.18163,-1.97883,-1.85979,-2.45596,-2.83672,-2.22267,-3.98353
561,-6.163526,106.819904,-11.70373,-2.46901,0,-1.02463,-2.56881,-0.61687,0.74126,-0.80093,-0.16626,-0.26654,-1.41616,-1.37421,-1.84974,-2.98736,-1.86612,-1.80185,-4.07048
574,-6.163604,106.819893,-16.15717,-3.4085,0,-0.79109,-1.58875,-0.6649,2.24973,-0.22406,-0.78088,-0.44845,-2.31251,-2.11379,-1.93165,-2.42499,-2.77421,-2.30622,-4.02969
589,-6.16355,106.819882,-6.57022,-1.38605,0,1.40751,0.25624,1.07596,-0.74257,1.64843,0.74531,-0.35102,-0.46319,-0.24317,-0.36712,0.08278,-0.39052,-0.04347,-1.0281
609,-6.163601,106.819908,-18.11315,-3.82113,0,-0.43761,-1.79792,-0.50774,2.19072,-0.53956,-1.12326,-0.20598,-2.14774,-2.5146,-2.23722,-2.87779,-3.10256,-2.53466,-4.21022
689,-6.163527,106.819902,-12.10675,-2.55403,0,-0.99483,-2.55362,-0.21606,1.24723,-0.80795,0.19598,0.0326,-1.49562,-1.51852,-1.72471,-2.85824,-1.80828,-1.71013,-3.97933
814,-6.163569,106.819882,-17.95555,-3.78788,0,-0.15717,-1.42224,-0.3085,2.42734,-0.21821,-0.85742,0.06336,-1.8895,-2.24701,-1.92581,-2.57573,-2.74967,-2.47098,-3.98879
969,-6.163624,106.819891,-19.72201,-4.16053,0,-0.52782,-2.29436,-0.91197,1.09731,-0.77286,-1.26389,-0.47362,-2.7246,-2.27793,-2.30948,-3.09866,-4.39257,-4.03617,-4.00728
1105,-6.163567,106.819891,-17.41191,-3.6732,0,-0.34939,-1.28669,-0.35524,2.5997,-0.3485,-0.83113,0.01136,-1.78142,-1.98584,-1.95268,-2.2094,-2.69241,-2.39327,-4.1109
1126,-6.163564,106.819907,-17.62185,-3.71749,0,-0.25416,-1.41115,-0.26352,2.51733,-0.30294,-0.81828,0.10834,-1.80655,-2.02208,-1.9451,-2.58334,-2.63167,-2.32026,-4.09222
1243,-6.163601,106.819912,-19.12079,-4.0337,0,-0.61139,-2.15322,-0.33163,1.25967,-0.56346,-0.53334,0.11335,-1.66358,-1.90738,-2.27573,-3.09416,-3.89013,-3.23926,-4.35665
1567,-6.163598,106.819923,-19.77733,-4.1722,0,-0.38529,-2.11057,-0.39706,1.37477,-0.53308,-0.5906,0.08589,-1.87099,-1.90446,-2.1098,-3.40791,-3.86851,-3.30704,-4.34263
1618,-6.163494,106.819875,-6.69086,-1.4115,0,1.93101,0.70729,1.6351,-0.31314,2.0282,0.98194,0.2233,-0.04603,-0.06263,0.1517,0.33109,0.0208,-0.06626,-0.43859
1659,-6.163584,106.819902,-17.76484,-3.74765,0,-0.42301,-1.47833,-0.3348,2.50914,-0.26495,-0.79257,0.14224,-1.93099,-2.08926,-1.95794,-2.6733,-2.78882,-2.39444,-4.13252
1696,-6.163586,106.819891,-17.21721,-3.63212,0,-0.48786,-1.47482,-0.42068,2.54244,-0.20945,-0.85158,0.0546,-1.88483,-2.01973,-1.94217,-2.49919,-2.75843,-2.30797,-4.10973
1780,-6.163534,106.819869,-6.21534,-1.31118,0,1.57578,0.64536,1.3529,-0.84073,1.69284,0.76401,-0.03903,-0.03902,-0.06906,-0.18893,0.4088,-0.19304,0.01496,-0.82011
2216,-6.150826,106.817215,-7.01552,-1.47999,0,0.07051,-0.94459,-0.91222,-0.14399,-1.13273,-1.80143,-2.6242,-2.33513,-1.29093,-1.52993,-1.4358,-0.83899,-1.15599,-2.23971
